name,typeOfService,phone,phoneExt,email,contactName,contactPhone,contactEmail,secondContactName,secondContactPhone,secondContactPhoneExt,secondContactEmail,address1,city,state,zip,notes
208 Housing,Sober Living,,,,,,,,,,,,,,,
208 Recovery,Treatment,(208) 914-6406,,,,,,,,,,,,,,
208 Recovery  /RECOVERY SUPPORTS,CPRC-SUPERVISOR,(208) 755-1445,,info@208recovery.org,Tess Reasor,,,,,,,,,,,
A New Dawn,Treatment - Mens Facility,(208) 984-9065,,admissions@newdawntrc.com,Jeremy Musgrave,,jeremy@newdawntrc.com,,,,,Powerline,Nampa,ID,,
A New Dawn,Mens Treatment ,(208) 984-9057,,anthony@newdawntrc.com,Anthony,,anthony@newdawntrc.com,,,,,,,,,
Access Point ,Housing Assessments,(208) 495-5688,,accesspoint@catchprogram.org,Amanda Nelson,(208) 515-6415,amanda@catchprogram.org,Amdan Nelson ,,,,,,,,catchidaho.org
ACE Program,ACE Serivces /IDOC,,,mimccabe@IDOC.idaho.gov,,,,,,,,,,,,
Ada County Adult Treatment Services BOISE,Problem Solving Courts Manager,(208) 287-7667,,,Maureen Baker Burton,,mbakerburton@adacounty.id.gov,Nicole Torres,,,ntorres@adacounty.id.gov,,,,,https://adacounty.id.gov/judicial-court/district-court/drug-courts/
All 12 Step Club,12 Step Recovery Club,(208) 459-7744,,alltwelvestepclubid@gmail.com,Chris Shroyer,,,Lori Shroyer,,,,,,,,
Area 18/District 4 AA,Area AA,(208) 810-6043,,Melanie.Chroninger@swdh.id.gov,Eric-Melanie,,,,,,,,,,,
Ascnt BH,Counseling,(208) 898-9755,,abhservices@qwestoffice.net,Cortney Garcia,,,,,,,,,,,
Big Boy Movers,Employer,(208) 643-5817,,idaho@thebigboymovers.com,Kemp,(877) 706-6837,idaho@thebigboymovers.com,,,,,,,,,"Email info sponsorship, interested in hiring guys: summer"
BPA (John Hall Cell-208-286-6896),Recovery Coach Training Academy,(208) 947-1292,,info@RCA.com,John Hall,(208) 947-1292,jessica.robison@bpahealth.com,Jessica Robison,,,,,,,,Recovery Coach Training
Breeze Laundry,Laundry Services,(833) 427-3393,,mellissa@breezelaundry.com,Melissa,,www.breezelaundry.com,,,,,,Caldwell,ID,83605,
Breeze Laundry ,Melissa Meyer,(883) 342-7339,,melissa@breezelaundry.com,Melissa Meyer,,,,,,,,,,,
Caldwell Recovery Center,Inpatient / Outpatient /Co-occ,(208) 459-6557,,gailvillarreal@gmail.com,Gail Villarreal,,gailvillarreal@gmail.com,,,,,,,,,
Canyon County Idaho,Assistant Director,(208) 454-7260,,mary.gomez@canyoncounty.id.gov,Mary Gomez,,mary.gomez@canyoncounty.id.gov,,,,,222 North 12th Ave,Caldwell ,ID,83605,
Cenetenial Job Corps,Job Corp Program,(801) 866-6998,,jones.traci@jobcorps.org,Traci Jones,,,,,,,3201 Ridgecrest Dr.,Nampa,ID,83687,
Centennial Job Corp,Center Director,(208) 442-4559,,Jones.Traci@jobcorps.org,Traci Jones,,,,,,,,,,,
CHARLENE CARIAN,SWDH,(208) 455-5300,,charlene@swdh.org,,,,,,,,,,,,
Clarvida,Treatment ,(208) 430-5399,,abigail.hackett@clarvida.com,Melissa Moragn,,,Crisis over 18,833-527-4747,,,,,,,
Clarvida,Counseling Services,(208) 616-0837,,kara.hudson@clarvida.com,Abigail Hackett,,abigail.hackett@clarvida.com,Crisis under 18,833-527-4747,,,,,,,
Clarvida,Treatment,(208) 562-4216,,Morgan.Kelly-Waters@clarvida.com,Morgan Kelly Waters,,,,,,,,,,,
CLAUDIA WEATHERMAN,Terry Reilly,(208) 402-1138,,cweathermon@trhs.org,,,,,,,,,,,,
Cottonwood Creek,Behavorial Health Hospital,,,mvanry@havenllc.com,"Morgan Van Ry, Dir. ",,,,,,,,,,,
Craig Johnson,RC Supervicor,(208) 859-5373,,craigjohnson@cjsconciergetherapyservices.com,Craig Johnson,,,,,,,,,,,
Family Justice Center,Domestic Violence,(208) 606-9017,,mancinello@cityofnampa.us,Jeanie,(208) 606-9017,,Olivia Mancinelli,,,mancillio@cityofnampa.us,1305 Third Street So.,Nampa,ID,83651,Human Trafficking Program Coordinator
Full Moon Housing,Sober Living,(208) 440-6799,,www.fullmoonhousing.com,Kent,(208) 695-5728,www.fullmoonhousing.com,Ashley,,,,,,,,
GEO Re-Entry Services,Re-Entry Services,(208) 519-1501,,sowhite@geogroup.com,Socorro,,Allan Gergen,,,,,,,,,
